ESTADO/PROVÍNCIA;PAÍS/REGIÃO;PAIS/ESTADO;LAT;LON;1 º DIA;2 º DIA;3 º DIA;4 º DIA;5 º DIA;6 º DIA;7 º DIA;8 º DIA;9 º DIA;10 º DIA;11 º DIA;12 º DIA;13 º DIA;14 º DIA;15 º DIA;16 º DIA;17 º DIA;18 º DIA;19 º DIA;20 º DIA;21 º DIA;22 º DIA;23 º DIA;24 º DIA;25 º DIA;26 º DIA;27 º DIA;28 º DIA;29 º DIA;30 º DIA;31 º DIA;32 º DIA;33 º DIA;34 º DIA;35 º DIA;36 º DIA;37 º DIA;38 º DIA;39 º DIA;40 º DIA;41 º DIA;42 º DIA;43 º DIA;44 º DIA;45 º DIA;46 º DIA;47 º DIA;48 º DIA;49 º DIA;50 º DIA;51 º DIA;52 º DIA;53 º DIA;54 º DIA;55 º DIA;56 º DIA;57 º DIA;58 º DIA;59 º DIA;60 º DIA;61 º DIA;62 º DIA;63 º DIA;64 º DIA;65 º DIA;66 º DIA;67 º DIA;68 º DIA;69 º DIA
Newfoundland and Labrador;Canada;Canada - Newfoundland and Labrador;531.355;-576.604;1;1;3;3;3;4;6;9;24;35;35;82;102;120;135;148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nova Scotia;Canada;Canada - Nova Scotia;-774.201.349;-637.443;5;7;12;14;15;21;28;41;51;68;73;90;110;122;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ontario;Canada;Canada - Ontario;512.538;-853.232;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;6;6;11;15;18;20;20;22;25;28;29;34;36;41;42;74;79;104;177;185;221;257;308;377;425;503;588;688;858;994;1144;1355;1706;;;;
Prince Edward Island;Canada;Canada - Prince Edward Island;465.107;-634.168;1;1;1;1;2;2;2;3;3;3;5;5;9;11;11;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quebec;Canada;Canada - Quebec;529.399;-735.491;1;1;1;1;1;1;2;2;3;4;4;4;8;9;17;17;24;50;74;94;121;139;181;219;628;1013;1342;1632;2024;2498;2840;3430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Saskatchewan;Canada;Canada - Saskatchewan;529.399;-1.064.509;2;2;2;7;7;8;16;20;26;52;66;72;72;95;95;134;156;156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Central African Republic;Central African Republic;66.111;209.394;1;1;1;1;1;3;3;3;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Chad;Chad;154.542;187.322;1;1;1;1;1;3;3;3;3;3;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Chile;Chile;-356.751;-71.543;1;1;4;4;4;8;8;13;23;23;43;61;74;155;201;238;238;434;537;632;746;922;1142;1306;1610;1909;2139;2449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anhui;China;China - Anhui;318.257;1.172.264;1;9;15;39;60;70;106;152;200;237;297;340;408;480;530;591;665;733;779;830;860;889;910;934;950;962;973;982;986;987;988;989;989;989;989;989;989;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990;990
Beijing;China;China - Beijing;401.824;1.164.142;14;22;36;41;68;80;91;111;114;139;168;191;212;228;253;274;297;315;326;337;342;352;366;372;375;380;381;387;393;395;396;399;399;399;400;400;410;410;411;413;414;414;418;418;422;426;428;428;429;435;435;436;437;442;452;456;469;480;491;504;522;537;558;561;566;569;573;577;577
